match_id,utc_date,competition_code,stage,group_name,home_team,away_team,dynamic_status,unavailable_reason,transition,v18_3_3_status,v18_3_3_market,v18_3_3_prediction,v18_3_3_confidence,v18_3_3_risk_level,v18_3_3_rule,v18_3_4_status,v18_3_4_market,v18_3_4_prediction,v18_3_4_confidence,v18_3_4_risk_level,v18_3_4_rule,1x2_prediction,1x2_max_probability,1x2_prob_team_a_win,1x2_prob_draw,1x2_prob_team_b_win,over_1_5_prediction,over_1_5_prob_yes,over_2_5_prediction,over_2_5_max_probability,btts_prediction,btts_prob_no,dc015_excluded_outcome,dc015_excluded_probability,dc018_excluded_outcome,dc018_excluded_probability
537341,2026-06-20T00:30:00Z,WC,GROUP_STAGE,GROUP_C,Brazil,Haiti,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,TEAM_A_WIN,0.435127,0.435127,0.355978,0.208895,NO,0.442437,NO,0.600102,NO,0.546463,TEAM_B_WIN,0.208895,TEAM_B_WIN,0.208895
537347,2026-06-20T03:00:00Z,WC,GROUP_STAGE,GROUP_D,Turkey,Paraguay,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.388585,0.242097,0.388585,0.369318,YES,0.550644,NO,0.503915,YES,0.34475,TEAM_A_WIN,0.242097,TEAM_A_WIN,0.242097
537359,2026-06-20T17:00:00Z,WC,GROUP_STAGE,GROUP_F,Netherlands,Sweden,computed,,SAME_RECOMMENDATION,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.909571,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.909571,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.654474,0.654474,0.255097,0.090429,YES,0.55672,YES,0.585466,NO,0.552244,TEAM_B_WIN,0.090429,TEAM_B_WIN,0.090429
537353,2026-06-20T20:00:00Z,WC,GROUP_STAGE,GROUP_E,Germany,Ivory Coast,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.452709,0.296571,0.452709,0.25072,NO,0.488346,NO,0.539308,YES,0.424275,TEAM_B_WIN,0.25072,TEAM_B_WIN,0.25072
537354,2026-06-21T00:00:00Z,WC,GROUP_STAGE,GROUP_E,Ecuador,Curaçao,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.402842,0.343122,0.402842,0.254036,YES,0.568493,NO,0.571514,NO,0.526937,TEAM_B_WIN,0.254036,TEAM_B_WIN,0.254036
537360,2026-06-21T04:00:00Z,WC,GROUP_STAGE,GROUP_F,Tunisia,Japan,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,TEAM_B_WIN,0.43092,0.181979,0.387101,0.43092,NO,0.490823,NO,0.533771,YES,0.397905,TEAM_A_WIN,0.181979,TEAM_A_WIN,0.181979
537371,2026-06-21T16:00:00Z,WC,GROUP_STAGE,GROUP_H,Spain,Saudi Arabia,computed,,SAME_RECOMMENDATION,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.861224,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.861224,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.512024,0.512024,0.3492,0.138776,YES,0.548615,NO,0.529035,NO,0.522218,TEAM_B_WIN,0.138776,TEAM_B_WIN,0.138776
537365,2026-06-21T19:00:00Z,WC,GROUP_STAGE,GROUP_G,Belgium,Iran,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.407561,0.257763,0.407561,0.334676,NO,0.487074,NO,0.522837,YES,0.464365,TEAM_A_WIN,0.257763,TEAM_A_WIN,0.257763
537372,2026-06-21T22:00:00Z,WC,GROUP_STAGE,GROUP_H,Uruguay,Cape Verde Islands,computed,,SAME_RECOMMENDATION,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.858519,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.858519,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.644182,0.644182,0.214337,0.141481,YES,0.604339,YES,0.608726,NO,0.675555,TEAM_B_WIN,0.141481,TEAM_B_WIN,0.141481
537366,2026-06-22T01:00:00Z,WC,GROUP_STAGE,GROUP_G,New Zealand,Egypt,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.460806,0.275845,0.460806,0.263349,YES,0.523054,NO,0.557874,YES,0.386537,TEAM_B_WIN,0.263349,TEAM_B_WIN,0.263349
537399,2026-06-22T17:00:00Z,WC,GROUP_STAGE,GROUP_J,Argentina,Austria,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.83591,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.482471,0.482471,0.353439,0.16409,YES,0.538214,NO,0.543839,NO,0.536789,TEAM_B_WIN,0.16409,TEAM_B_WIN,0.16409
537393,2026-06-22T21:00:00Z,WC,GROUP_STAGE,GROUP_I,France,Iraq,computed,,SAME_RECOMMENDATION,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.878344,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.878344,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.52592,0.52592,0.352424,0.121656,NO,0.491339,NO,0.554169,YES,0.465541,TEAM_B_WIN,0.121656,TEAM_B_WIN,0.121656
537394,2026-06-23T00:00:00Z,WC,GROUP_STAGE,GROUP_I,Norway,Senegal,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.83648,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,DRAW,0.426325,0.16352,0.426325,0.410155,YES,0.567602,NO,0.546622,YES,0.338109,TEAM_A_WIN,0.16352,TEAM_A_WIN,0.16352
537400,2026-06-23T03:00:00Z,WC,GROUP_STAGE,GROUP_J,Jordan,Algeria,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.834782,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.443723,0.165218,0.391058,0.443723,NO,0.44102,NO,0.523354,YES,0.38982,TEAM_A_WIN,0.165218,TEAM_A_WIN,0.165218
537405,2026-06-23T17:00:00Z,WC,GROUP_STAGE,GROUP_K,Portugal,Uzbekistan,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.408426,0.241038,0.408426,0.350536,NO,0.479284,YES,0.514106,YES,0.423622,TEAM_A_WIN,0.241038,TEAM_A_WIN,0.241038
537411,2026-06-23T20:00:00Z,WC,GROUP_STAGE,GROUP_L,England,Ghana,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.82538,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,DRAW,0.429473,0.395908,0.429473,0.17462,NO,0.459524,NO,0.545419,YES,0.376407,TEAM_B_WIN,0.17462,TEAM_B_WIN,0.17462
537412,2026-06-23T23:00:00Z,WC,GROUP_STAGE,GROUP_L,Panama,Croatia,computed,,SAME_RECOMMENDATION,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.858032,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.858032,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.48847,0.141968,0.369562,0.48847,NO,0.453946,NO,0.571953,YES,0.439807,TEAM_A_WIN,0.141968,TEAM_A_WIN,0.141968
